,,dG,dG,dG,dG,dG,dG,dG,dG,dH,dH,dH,dH,dH,dH,dH,dH,dS,dS,dS,dS,dS,dS,dS,dS
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
mol_id,orientation,,,,,,,,,,,,,,,,,,,,,,,,
lig,A,10.0,-7.26929290201632,0.5923119675357214,-8.367023633365061,-7.519858203568381,-7.272624992861467,-7.162544807930377,-6.310170067844972,10.0,-18.63034,0.6801868619071608,-19.977,-18.974600000000002,-18.5669,-18.3991,-17.6351,10.0,-11.36104709798368,0.23480203844641942,-11.655361802495666,-11.507746620169218,-11.383175858838278,-11.236555192069623,-10.854665402275428
lig,B,10.0,-11.149809383523676,0.5772388218000021,-12.539499172349952,-11.331431833750745,-11.057886983630151,-10.897791177111113,-10.480830343212633,10.0,-23.029130000000002,0.49087361136379387,-24.0687,-23.26865,-23.03035,-22.6507,-22.437,10.0,-11.879320616476322,0.26172861095420463,-12.357018961445537,-12.026424953305717,-11.922775182566749,-11.643118166249256,-11.529200827650048
phs,A,10.0,-10.199390401386209,0.40951934034968424,-10.918726964407774,-10.427439407226723,-10.255847931190557,-10.009449796933565,-9.567717405307972,10.0,-21.72723,0.3790356507712112,-22.2723,-21.99825,-21.75395,-21.4971,-21.1626,10.0,-11.527839598613792,0.186252188648633,-11.864265374903157,-11.61184166422482,-11.565002889164006,-11.470291775042822,-11.201873035592225
phs,B,10.0,-3.326545156191955,0.4930156814208577,-3.835848987385612,-3.5921147908442146,-3.476061595228619,-3.1807435542394247,-2.2548012381108613,10.0,-16.07182,0.46516209791139856,-16.5882,-16.206,-16.1696,-16.064875,-14.9186,10.0,-12.745274843808046,0.17604189316898008,-13.063981437915952,-12.768375474617041,-12.708074887251763,-12.62743394342025,-12.568586161076649
sph,A,10.0,-6.0864372327234975,0.5926899307263176,-6.930434813167938,-6.36244393080298,-6.261976463093631,-5.951782562941574,-5.027424295034809,10.0,-19.016939999999998,0.5874589105252859,-19.7895,-19.32525,-19.0948,-18.85575,-17.6743,10.0,-12.930502767276504,0.2009978111742445,-13.39671490181161,-12.980610415066607,-12.92512111922236,-12.868264291036619,-12.64687570496519
sph,B,10.0,-9.361872687534301,0.33343143295695576,-9.728040045051502,-9.606403048384447,-9.428708424943414,-9.121702471550936,-8.73721075790151,10.0,-22.48247,0.2671955049937943,-22.8382,-22.624950000000002,-22.53795,-22.478450000000002,-21.9373,10.0,-13.1205973124657,0.23447434863664787,-13.579158694529523,-13.20269768869237,-13.053806550009849,-12.948995368571858,-12.852959954948497
